id,condition,num,time,rate
P1,TREATMENT,1,496909,6
P1,TREATMENT,2,223179,3
P1,TREATMENT,3,327394,6
P1,TREATMENT,4,192108,7
P1,TREATMENT,5,306247,4
P1,TREATMENT,6,298227,6
P1,CONTROL,1,418254,5
P1,CONTROL,2,361158,2
P1,CONTROL,3,211206,5
P1,CONTROL,4,275756,3
P1,CONTROL,5,325455,5
P2,TREATMENT,1,445543,7
P2,TREATMENT,2,361941,5
P2,TREATMENT,3,351355,2
P2,TREATMENT,4,176994,7
P2,TREATMENT,5,213847,2
P2,TREATMENT,6,234812,6
P2,CONTROL,1,453614,1
P2,CONTROL,2,156118,2
P2,CONTROL,3,373647,1
P2,CONTROL,4,247896,1
P2,CONTROL,5,379496,1
P3,TREATMENT,1,340661,6
P3,TREATMENT,2,327906,6
P3,TREATMENT,3,319188,7
P3,TREATMENT,4,464922,6
P3,TREATMENT,5,146385,1
P3,TREATMENT,6,141921,6
P3,CONTROL,1,494079,5
P3,CONTROL,2,417325,5
P3,CONTROL,3,160279,4
P3,CONTROL,4,360678,7
P3,CONTROL,5,185616,7
P4,TREATMENT,1,235991,3
P4,TREATMENT,2,204214,2
P4,TREATMENT,3,147596,1
P4,TREATMENT,4,200079,2
P4,TREATMENT,5,198872,4
P4,TREATMENT,6,160734,6
P4,TREATMENT,7,146572,5
P4,TREATMENT,8,175958,7
P4,TREATMENT,9,143663,5
P4,CONTROL,1,134000,2
P4,CONTROL,2,158364,7
P4,CONTROL,3,181189,4
P4,CONTROL,4,99506,7
P4,CONTROL,5,118963,7
P4,CONTROL,6,123186,6
P4,CONTROL,7,193141,5
P4,CONTROL,8,158465,6
P4,CONTROL,9,291161,7
P4,CONTROL,10,43845,7
P5,TREATMENT,1,548836,6
P5,TREATMENT,2,370636,6
P5,TREATMENT,3,388095,6
P5,CONTROL,1,831157,1
P5,CONTROL,2,522115,1
P5,CONTROL,3,319641,1
P6,TREATMENT,1,405515,7
P6,TREATMENT,2,90821,6
P6,TREATMENT,3,127517,6
P6,TREATMENT,4,951005,7
P6,TREATMENT,5,157730,1
P6,CONTROL,1,582927,1
P6,CONTROL,2,235179,5
P6,CONTROL,3,345917,7
P6,CONTROL,4,209062,6
P6,CONTROL,5,263164,5
P8,TREATMENT,1,339808,5
P8,TREATMENT,2,282705,2
P8,TREATMENT,3,244306,6
P8,TREATMENT,4,228718,7
P8,TREATMENT,5,274719,6
P8,TREATMENT,6,213859,6
P8,TREATMENT,7,176670,6
P8,TREATMENT,8,67852,6
P8,CONTROL,1,363771,5
P8,CONTROL,2,257287,6
P8,CONTROL,3,197539,7
P8,CONTROL,4,231273,5
P8,CONTROL,5,294003,7
P8,CONTROL,6,235127,7
P8,CONTROL,7,186927,6
P9,TREATMENT,1,817211,6
P9,TREATMENT,2,207011,6
P9,TREATMENT,3,125785,6
P9,TREATMENT,4,204114,6
P9,TREATMENT,5,227187,6
P9,TREATMENT,6,212414,6
P9,CONTROL,1,357443,6
P9,CONTROL,2,263761,7
P9,CONTROL,3,181841,7
P9,CONTROL,4,219448,7
P9,CONTROL,5,405436,7
P9,CONTROL,6,272352,7
P10,TREATMENT,1,676285,6
P10,TREATMENT,2,418978,2
P10,TREATMENT,3,494588,2
P10,TREATMENT,4,232266,1
P10,CONTROL,1,554190,1
P10,CONTROL,2,319490,5
P10,CONTROL,3,261020,2
P10,CONTROL,4,279674,2
P10,CONTROL,5,343136,2
P11,TREATMENT,1,480873,6
P11,TREATMENT,2,512137,6
P11,TREATMENT,3,447337,6
P11,CONTROL,1,625500,6
P11,CONTROL,2,472374,7
P11,CONTROL,3,475061,5
P13,TREATMENT,1,303194,6
P13,TREATMENT,2,246877,4
P13,TREATMENT,3,240772,5
P13,TREATMENT,4,265979,5
P13,TREATMENT,5,300648,3
P13,TREATMENT,6,321203,2
P13,CONTROL,1,228773,4
P13,CONTROL,2,244882,5
P13,CONTROL,3,255583,6
P13,CONTROL,4,366931,2
P13,CONTROL,5,274540,6
P13,CONTROL,6,169145,2
P14,TREATMENT,1,537949,4
P14,TREATMENT,2,507615,6
P14,TREATMENT,3,557022,5
P14,TREATMENT,4,172045,3
P14,CONTROL,1,637729,3
P14,CONTROL,2,366473,3
P14,CONTROL,3,508115,2
P14,CONTROL,4,252988,2
P15,TREATMENT,1,1109330,3
P15,TREATMENT,2,100922,5
P15,TREATMENT,3,103332,5
P15,TREATMENT,4,80277,6
P15,TREATMENT,5,101894,7
P15,CONTROL,1,1184915,7
P15,CONTROL,2,63475,5
P15,CONTROL,3,101870,3
P15,CONTROL,4,112995,6
P15,CONTROL,5,95135,5
P16,TREATMENT,1,428756,7
P16,TREATMENT,2,421012,7
P16,TREATMENT,3,302282,6
P16,TREATMENT,4,300925,5
P16,TREATMENT,5,299765,7
P16,CONTROL,1,577339,5
P16,CONTROL,2,482406,4
P16,CONTROL,3,348609,5
